,,,,,시간,00시,00시,01시,01시,02시,02시,03시,03시,04시,04시,05시,05시,06시,06시,07시,07시,08시,08시,09시,09시,10시,10시,11시,11시,12시,12시,13시,13시,14시,14시,15시,15시,16시,16시,17시,17시,18시,18시,19시,19시,20시,20시,21시,21시,22시,22시,합계,합계
가로명,방면,순번(LV2),시작지점,종료지점,분,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
강북로,하행,1,명촌교북단사거리,내황삼거리,15분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강북로,하행,1,명촌교북단사거리,내황삼거리,30분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강북로,하행,1,명촌교북단사거리,내황삼거리,45분,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0
강북로,하행,1,명촌교북단사거리,내황삼거리,소계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강북로,하행,2,내황삼거리,학성교북교차로,00분,103,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,396,0,433,0,490,0,390,0,264,0,239,0,206,0,5311,0
강북로,하행,2,내황삼거리,학성교북교차로,15분,233,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,333,0,490,0,465,0,409,0,280,0,274,0,203,0,5477,0
강북로,하행,2,내황삼거리,학성교북교차로,30분,190,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,348,0,517,0,369,0,367,0,287,0,242,0,188,0,5298,0
강북로,하행,2,내황삼거리,학성교북교차로,45분,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,186,0,385,0,484,0,426,0,314,0,241,0,212,0,-,-,5038,0
강북로,하행,2,내황삼거리,학성교북교차로,소계,712,0,744,0,744,0,744,0,744,0,744,0,744,0,744,0,744,0,744,0,744,0,744,0,744,0,744,0,744,0,744,0,1462,0,1924,0,1750,0,1480,0,1072,0,967,0,597,0,21124,0
강북로,하행,3,학성교북교차로,가구삼거리,00분,108,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,381,0,337,0,193,0,192,0,167,0,3877,0
강북로,하행,3,학성교북교차로,가구삼거리,15분,219,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,405,0,308,0,218,0,226,0,164,0,4039,0
강북로,하행,3,학성교북교차로,가구삼거리,30분,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,322,0,262,0,229,0,185,0,119,0,3763,0
강북로,하행,3,학성교북교차로,가구삼거리,45분,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,171,0,330,0,203,0,188,0,186,0,-,-,3577,0
강북로,하행,3,학성교북교차로,가구삼거리,소계,621,0,588,0,588,0,588,0,588,0,588,0,588,0,588,0,588,0,588,0,588,0,588,0,588,0,588,0,588,0,588,0,588,0,612,0,1438,0,1110,0,828,0,789,0,450,0,15256,0
강북로,하행,4,가구삼거리,번영교북교차로,00분,135,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,410,0,396,0,431,0,357,0,272,0,281,0,188,0,6205,0
강북로,하행,4,가구삼거리,번영교북교차로,15분,289,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,249,0,400,0,417,0,412,0,356,0,274,0,277,0,221,0,6381,0
